id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
sealcoin,0.03315582,145795813,29.90047,0.189682,0.01268119,2026-06-06_12-02
zcash,377.46,6323070800,18.77658,3191.93,16.08,2026-06-06_12-02
audiera,1.86,535225062,14.2666,4.91,0.067925,2026-06-06_12-02
skyai,0.195214,195326712,12.4683,0.854253,0.01433298,2026-06-06_12-02
ethena,0.093963,872939271,10.37495,1.52,0.076868,2026-06-06_12-02
venice-token,16.44,769730113,8.72968,22.58,0.91975,2026-06-06_12-02
ethgas-2,0.104423,219287645,5.27709,0.16166,0.01667836,2026-06-06_12-02
bianrensheng,0.687388,687425232,4.83292,0.727063,0.03843448,2026-06-06_12-02
siren-2,0.760503,552693033,4.50802,3.61,0.02634736,2026-06-06_12-02
railgun,2.25,129741359,4.4289,5.66,0.228324,2026-06-06_12-02
