id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
sealcoin,0.02748329,120935365,-14.63437,0.189682,0.01268119,2026-06-07_11-00
apxusd,0.941454,400416514,-5.68303,1.11,0.871771,2026-06-07_11-00
lighter,1.43,356946051,-4.9041,7.86,0.780945,2026-06-07_11-00
monero,296.91,5570724822,-4.40009,797.73,0.216177,2026-06-07_11-00
edgex,0.489516,171365964,-3.77452,1.54,0.401552,2026-06-07_11-00
nexus-4,3.03e-06,181718847,-3.26341,6.88e-06,2.79e-06,2026-06-07_11-00
venice-token,16.39,767557916,-3.10049,22.58,0.91975,2026-06-07_11-00
the9bit,0.04467287,366324501,-1.79854,0.055295,0.00589506,2026-06-07_11-00
near,1.9,2462881753,-1.694,20.44,0.526762,2026-06-07_11-00
sky,0.057043,1325660330,-1.67534,0.100535,0.03582727,2026-06-07_11-00
